id,difficulty,success,extCount,size,type,ans,,,,,,,,,ext,,,,,,,,,,,,
1,11,1,,,23,go,god,,,,,,,,do,dog,,,,,,,,,,,
2,10,1,,,23,or,for,,,,,,,,fro,of,,,,,,,,,,,
3,13,1,,,223,is,it,tis,,,,,,,its,sit,,,,,,,,,,,
4,11,1,,,223,be,we,web,,,,,,,,,,,,,,,,,,,
5,12,1,,,2223,am,as,my,may,,,,,,yam,say,,,,,,,,,,,
6,13,1,,,2223,do,go,to,got,,,,,,dog,god,dot,,,,,,,,,,
7,28,1,,,234,me,met,stem,,,,,,,set,,,,,,,,,,,,
8,20,1,,,233,no,own,won,,,,,,,now,on,,,,,,,,,,,
9,20,1,,,2233,be,we,bee,web,,,,,,ewe,wee,,,,,,,,,,,
10,20,1,,,2233,at,to,eat,tea,,,,,,oat,tao,ate,toe,,,,,,,,,
11,45,1,,,3334,his,its,tis,this,,,,,,shit,sit,hit,,,,,,,,,,
12,38,1,,,2334,is,his,psi,ship,,,,,,phi,hip,sip,,,,,,,,,,
13,35,1,,,334,ear,era,race,,,,,,,care,acre,are,car,rec,arc,ace,,,,,,
14,37,1,,,22334,an,at,tea,ten,neat,,,,,tan,ante,ate,eat,net,ant,,,,,,,
15,28,1,,,2234,no,to,too,onto,,,,,,toon,ton,on,not,,,,,,,,,
16,38,1,,,334,cab,car,carb,,,,,,,crab,bra,bar,arc,,,,,,,,,
17,36,1,,,2334,oh,how,who,show,,,,,,so,sow,,,,,,,,,,,
18,19,1,,,233,to,opt,top,,,,,,,pot,,,,,,,,,,,,
19,35,1,,,334,ear,era,bear,,,,,,,are,bra,bar,bare,,,,,,,,,
20,47,1,,,23334,an,ear,era,ran,earn,,,,,are,near,,,,,,,,,,,
21,36,1,,,2334,as,sea,see,ease,,,,,,,,,,,,,,,,,,
22,54,1,,,33334,ate,eat,fat,tea,fate,,,,,aft,feta,feat,,,,,,,,,,
23,31,1,,,2234,ok,to,too,took,,,,,,,,,,,,,,,,,,
24,44,1,,,3334,die,red,rid,ride,,,,,,ire,dire,,,,,,,,,,,
25,36,1,,,2334,at,sea,tea,seat,,,,,,sate,east,ate,eat,sat,as,set,,,,,,
26,35,1,,,334,any,may,many,,,,,,,nay,yam,man,,,,,,,,,,
27,35,1,,,334,end,ten,tend,,,,,,,net,den,dent,,,,,,,,,,
28,45,1,,,3334,ate,eat,tea,date,,,,,,tad,,,,,,,,,,,,
29,36,1,,,2334,to,opt,top,poet,,,,,,toe,pot,pet,,,,,,,,,,
30,45,1,,,3334,are,ear,era,year,,,,,,ray,yer,yea,rye,aye,,,,,,,,
31,54,1,,,33334,eat,hat,tea,the,heat,,,,,ate,hate,,,,,,,,,,,
32,49,1,,,3334,now,own,won,mown,,,,,,mow,,,,,,,,,,,,
33,52,1,,,3344,aid,die,aide,idea,,,,,,,,,,,,,,,,,,
34,45,1,,,3334,are,ear,era,rare,,,,,,rear,,,,,,,,,,,,
35,58,1,,,33334,now,own,son,won,sown,,,,,sow,snow,,,,,,,,,,,
36,44,1,,,3334,lie,lip,pie,pile,,,,,,lei,,,,,,,,,,,,
37,56,1,,,33334,own,ton,two,won,town,,,,,wot,now,tow,not,wont,,,,,,,,
38,69,1,,,33345,ear,era,sea,soar,arose,,,,,sear,arse,roe,aero,are,ore,oar,sore,rose,,,,
39,50,1,,,3334,ash,has,was,shaw,,,,,,haw,saw,wash,,,,,,,,,,
40,75,1,,,4445,bite,brie,tire,tribe,,,,,,rite,bier,ret,tier,biter,,,,,,,,
41,56,1,,,3345,ask,sea,sake,speak,,,,,,ska,spa,apse,sap,pea,ape,peak,,,,,,
42,70,1,,,33345,bin,cab,can,inca,cabin,,,,,nib,ban,nab,,,,,,,,,,
43,45,1,,,3334,ops,opt,top,stop,,,,,,sop,sot,pot,spot,post,,,,,,,,
44,64,1,,,3445,win,sign,sing,swing,,,,,,swig,wig,sin,gin,wing,,,,,,,,
45,70,1,,,3445,met,most,stem,smote,,,,,,set,mote,mot,sot,tom,toe,tome,some,,,,,
46,40,1,,,334,met,tea,meta,,,,,,,tam,meat,mat,mate,ate,eat,team,tame,,,,,
47,60,1,,,3345,era,red,lead,lader,,,,,,lea,led,alder,dale,earl,dal,deal,are,ear,rad,lad,ale,real,read,lard,dear,dare
48,49,1,,,3334,doe,red,rod,rode,,,,,,doer,roe,ore,ode,,,,,,,,,
49,72,1,,,3455,fun,fund,fondu,found,,,,,,udon,dun,oud,un,nod,duo,don,undo,fond,,,,
50,44,1,,,3334,ear,era,her,hear,,,,,,are,rhea,hare,,,,,,,,,,
